epoch,map,map_05,train loss,train cls loss,train box reg loss,train obj loss,train rpn loss
1,0.0036868511148549846,0.015531047917682072,0.6900177001953125,0.46260566,0.25755194,0.16661258,0.03278184
2,0.013560075611233326,0.05774812110270082,0.7154011726379395,0.33200005,0.29599124,0.061840184,0.024514157
3,0.028397741845629293,0.10412808028992344,0.6637938022613525,0.2809288,0.27031514,0.050190546,0.021572867
4,0.03531506172227889,0.13769072019118,0.4873049855232239,0.24902457,0.25218868,0.04377012,0.01894314
5,0.03489972812835091,0.13420197591924182,0.4996446967124939,0.23006645,0.24170552,0.039647453,0.01739494
6,0.04476573454233167,0.1619619449033835,0.4896300137042999,0.20946343,0.22931705,0.03653643,0.01585004
7,0.032696147085339695,0.1267683255772085,0.3694515526294708,0.19901839,0.2230255,0.03376093,0.014846595
8,0.03751245251689452,0.14266088833647028,0.42727428674697876,0.1874781,0.2159661,0.031335663,0.014080868
9,0.03834542675757236,0.15811549957155796,0.4077673554420471,0.17575198,0.208619,0.029451,0.013261384
10,0.034039292545993326,0.14111330225685514,0.4055928587913513,0.168427,0.20310502,0.028523212,0.012718917
11,0.03695416853837853,0.14433862952580181,0.3540814220905304,0.16431572,0.20181558,0.026865566,0.012410858
12,0.03795947391360836,0.14408680204043708,0.41594359278678894,0.1584767,0.1970876,0.026644066,0.012291526
13,0.04247944407754033,0.1640665564850667,0.38594740629196167,0.15144843,0.19275652,0.024974823,0.011593568
14,0.04751565757080365,0.19257589557180466,0.37500688433647156,0.1472698,0.18931115,0.024569146,0.011577128
15,0.04627781343766452,0.18246751745311804,0.4845353066921234,0.14299324,0.18625425,0.024352605,0.011532731
16,0.0328892908777016,0.1382953403314463,0.42335158586502075,0.13898647,0.1830909,0.02312204,0.010931748
17,0.04077154383540204,0.15972469031184375,0.31565195322036743,0.1319889,0.17838682,0.021888368,0.0107901925
18,0.04393573793733279,0.16971867435077173,0.3047415316104889,0.128914,0.17573422,0.021291653,0.010618756
19,0.04697930370788481,0.17822855852244168,0.29265105724334717,0.12434539,0.17261095,0.020735646,0.01043356
20,0.062376724408636564,0.22160981123097276,0.31935977935791016,0.12251549,0.16975969,0.020150075,0.010048793
21,0.06716635799660048,0.236054417379659,0.36733460426330566,0.11985941,0.16781957,0.019753428,0.0100895045
22,0.05589723121049233,0.20572026934125345,0.32485222816467285,0.11593533,0.16485973,0.019317819,0.010002426
23,0.06421183957533978,0.2388403960282105,0.303437203168869,0.1126041,0.16126445,0.018937266,0.0097636925
24,0.05342822395381899,0.204133827233059,0.2717226445674896,0.11020696,0.1602485,0.018815983,0.009787828
25,0.07064514816146747,0.23160945932020188,0.27236491441726685,0.107978575,0.15728296,0.018302664,0.00973435
