epoch,map,map_05,train loss,train cls loss,train box reg loss,train obj loss,train rpn loss
1,1.692340270281216e-05,9.137171656007315e-05,1.2825850248336792,1.0993428,0.1973865,0.6848721,0.02103103
2,0.0008253470576775845,0.00230386018563293,1.2194371223449707,0.3130066,0.2689169,0.63805103,0.020487316
3,0.000679615303451252,0.002007933314339094,1.03031587600708,0.30336338,0.28374496,0.5029289,0.020330518
4,0.000551114052577496,0.0021185034287550114,0.8316110968589783,0.30754226,0.29872447,0.2759663,0.018626489
5,0.0006447740940048344,0.0024493224305230897,0.8514152765274048,0.32444593,0.32406548,0.17196696,0.01740831
6,0.0013063253291707487,0.003634763033125153,0.809596061706543,0.3415436,0.35016006,0.13683958,0.017308783
7,0.0019129810752082084,0.007562598282068412,0.8520645499229431,0.3498531,0.36947137,0.11511498,0.01712389
8,0.0029474438369586848,0.012913503552282924,0.8903209567070007,0.3544282,0.38207963,0.09820629,0.017050723
9,0.0039748099010231035,0.016168739952979242,0.750836193561554,0.34998432,0.3779964,0.08449502,0.016271476
10,0.0057795304923272325,0.023490163579024545,0.7769784331321716,0.33681998,0.35767758,0.075630754,0.016412871
11,0.007798281007858395,0.02683648403212651,0.7062474489212036,0.31670046,0.3333571,0.069515064,0.015882246
12,0.010236713455997127,0.03561627824951234,0.6333288550376892,0.30002463,0.31758842,0.06503836,0.015582666
13,0.01041206424237034,0.03525685434399357,0.5732070207595825,0.28671935,0.3067947,0.061370187,0.0153947165
14,0.011873758998745293,0.0424166075701464,0.6482275724411011,0.27093393,0.29274344,0.05764257,0.015269972
15,0.012583171220285247,0.043014218220763525,0.6158415675163269,0.2590888,0.28318036,0.055996805,0.015049104
16,0.01287415007563834,0.04850091576916749,0.5716413855552673,0.24790038,0.2764248,0.05309967,0.014674092
17,0.012724676620321375,0.04923032283600269,0.5980229377746582,0.23853849,0.2689723,0.050532337,0.014642706
18,0.013472852019238963,0.0547583933928032,0.5247803330421448,0.22888675,0.26188755,0.049306545,0.014143324
19,0.01287431179389616,0.05315328137135181,0.5530489683151245,0.22087154,0.25799593,0.047941405,0.013867245
20,0.012739656090523544,0.04997430946988515,0.5640600919723511,0.21539822,0.25378597,0.048077617,0.0138352625
21,0.012582966182237984,0.050252614951535275,0.5146874785423279,0.20866367,0.24940602,0.04558135,0.01353893
22,0.013729136472386272,0.05568811106250143,0.4807157814502716,0.20408323,0.24736995,0.04527127,0.013584925
23,0.011736852237400388,0.04612591504992224,0.47300341725349426,0.19745909,0.24319097,0.04388182,0.013021147
24,0.013137055987671828,0.05154145636759103,0.5436075925827026,0.19384764,0.23949209,0.043708317,0.013153008
25,0.014444857165822828,0.05800794059926174,0.5044842958450317,0.18870504,0.2370659,0.042372327,0.012896543
