epoch,map,map_05,train loss,train cls loss,train box reg loss,train obj loss,train rpn loss
1,0.030754863039345184,0.144710576702275,0.8689835667610168,0.45328975,0.38959584,0.26279968,0.062866
2,0.040172280540338966,0.15795582798555777,0.9934027194976807,0.36617208,0.4236393,0.08662561,0.048028726
3,0.04905420999932204,0.19077886518901024,0.7683149576187134,0.33986127,0.4136251,0.06899941,0.04279372
4,0.028303199783867243,0.11014659600252054,0.5845404863357544,0.31652275,0.3948661,0.0613564,0.041323144
5,0.06522258568236156,0.226559799717749,0.9062924981117249,0.30158192,0.37884372,0.05649398,0.040075686
6,0.043805069512343274,0.16613190638218817,0.6686859726905823,0.28702962,0.36467484,0.05200512,0.038334046
7,0.06525988078202216,0.2359676158583859,0.6341515183448792,0.2753159,0.3472398,0.049121596,0.037525084
8,0.05562593101275497,0.20552425570581792,0.4910362660884857,0.27284765,0.34209165,0.04775384,0.03632476
9,0.04552662529445496,0.1697013102236033,0.6752709150314331,0.26440904,0.3300744,0.044797584,0.035613157
10,0.056969663518998376,0.2017705320835731,0.4095294773578644,0.2640954,0.32530314,0.043743875,0.035490718
11,0.07296545498155389,0.2560579879338651,0.5999271273612976,0.2520734,0.31598905,0.04218426,0.03520419
12,0.11574153540459577,0.392648889571677,0.5785977244377136,0.25283936,0.30722424,0.040277082,0.03449153
13,0.06397779747221531,0.2342121784100686,0.45662495493888855,0.24495685,0.30234438,0.0389514,0.033903014
14,0.061714482185041,0.21109061703721302,0.5837928056716919,0.24136804,0.29997212,0.038726997,0.03370892
15,0.055966735425048,0.21460201235851853,0.7106821537017822,0.23435241,0.28954244,0.037339658,0.033433963
16,0.07726017853027753,0.2780237310899,0.40015971660614014,0.23075859,0.28711167,0.0376021,0.033274904
17,0.06760737232667857,0.2440410285919416,0.7507622838020325,0.22625323,0.2859294,0.036787033,0.032857582
18,0.06949723700730033,0.2628257636588962,0.5160883069038391,0.2195116,0.28205833,0.036328282,0.032505404
19,0.07923387945318111,0.2754373015677584,0.31317299604415894,0.21646684,0.27540082,0.03427238,0.031701427
20,0.06380019153755026,0.23948959449960344,0.8050354719161987,0.21635582,0.27619353,0.033671264,0.03184427
21,0.07761001920972035,0.2752057759242934,0.6046190857887268,0.21101475,0.27156052,0.033691887,0.031753592
22,0.07743118042164089,0.2928934116137652,0.6330363750457764,0.2105312,0.26984695,0.032915413,0.03180006
23,0.07329826709729718,0.2524813280166965,0.33659398555755615,0.20416336,0.26205808,0.031069338,0.030842539
24,0.08962819590208176,0.30109986395432775,0.6073289513587952,0.199886,0.2592603,0.032306723,0.030990792
25,0.06091168438316759,0.22191513065955493,0.4935975670814514,0.20072886,0.2606952,0.03169993,0.030991687
