epoch,map,map_05,train loss,train cls loss,train box reg loss,train obj loss,train rpn loss
1,0.011667447989670395,0.05316608379869287,0.819728434085846,0.44447926,0.33925915,0.2464132,0.1299589
2,0.01788579656203809,0.067674625140924,0.884190559387207,0.32502356,0.32274812,0.10156956,0.058111243
3,0.022973657785535402,0.08881287074934076,0.7712507843971252,0.3095622,0.32797202,0.08297448,0.05078107
4,0.031329638302275635,0.11885264284503211,0.8065118789672852,0.29931617,0.32402918,0.07494125,0.046644505
5,0.03918135068696384,0.15052327689829303,0.7111152410507202,0.29399332,0.32167652,0.067886494,0.044083703
6,0.03234590762486037,0.10856762946635315,0.6562255620956421,0.2850934,0.3171094,0.06347966,0.042594045
7,0.044442153017279,0.15679804801931957,0.6935673952102661,0.27880722,0.31420735,0.060140703,0.041179772
8,0.05011704236411265,0.18825849445956405,0.6855476498603821,0.271484,0.30495214,0.05710785,0.04047395
9,0.03466834665226299,0.12660550334941092,0.558086633682251,0.2619948,0.2965017,0.053689677,0.039653413
10,0.031041470279708053,0.11854597698528657,0.6916817426681519,0.2599262,0.2952517,0.05168251,0.038890094
11,0.04046274718170926,0.13562044992306022,0.6451740860939026,0.2541098,0.28962505,0.050225955,0.03821801
12,0.05272706194684833,0.1843162867080656,0.5266591310501099,0.2476828,0.2836585,0.04960481,0.037511397
13,0.03948789386704819,0.13281967046022006,0.634438157081604,0.24209394,0.2776641,0.04801925,0.037694544
14,0.0544713798624162,0.18993761087819147,0.6496519446372986,0.23718527,0.27668276,0.04715893,0.03678976
15,0.062481487911789514,0.2318437519209661,0.4874838888645172,0.23405664,0.27167472,0.047038082,0.036405735
16,0.059275576234849886,0.2058693321685249,0.6782622933387756,0.22984701,0.27054963,0.046344183,0.03609276
17,0.04688175679058293,0.16339564112711294,0.5728452801704407,0.2245338,0.2628336,0.044074614,0.03572831
18,0.051782609637158104,0.19566467831012602,0.5636228322982788,0.22325951,0.2574447,0.043111715,0.03578997
19,0.0614688477559865,0.21449599046995774,0.517164945602417,0.21933842,0.25412557,0.042960353,0.035255454
20,0.055215419487172505,0.2012728260802418,0.6152802109718323,0.21986173,0.25903988,0.04204955,0.034907285
21,0.06421058955605394,0.2248851805137776,0.46585023403167725,0.21296981,0.25115955,0.04103357,0.03469184
22,0.06331014315508693,0.22136752055985218,0.5090643167495728,0.21028872,0.247213,0.040506445,0.034357667
23,0.04740291705065002,0.16671046085799207,0.5449665188789368,0.20351824,0.24067982,0.03980043,0.03389893
24,0.06664208205479973,0.2409828449574046,0.5080262422561646,0.19906604,0.23796782,0.038280126,0.033736404
25,0.05879480527978415,0.21068256688958112,0.49391815066337585,0.20074491,0.23695555,0.039161216,0.033769123
