epoch,map,map_05,train loss,train cls loss,train box reg loss,train obj loss,train rpn loss
1,0.0075164348016009234,0.035220382453088804,0.7289464473724365,0.46921536,0.35542974,0.26911542,0.13907076
2,0.013919593406587286,0.059980113176788086,0.7139943242073059,0.3062687,0.30913273,0.109241426,0.0609316
3,0.019468401067411576,0.08098196211064279,0.7919089198112488,0.2928334,0.31300932,0.09704476,0.053584322
4,0.030190631801690477,0.11111188734485661,0.7582783102989197,0.28911617,0.3173877,0.08734997,0.04964837
5,0.04297268865819422,0.164675046457241,0.7189794182777405,0.2818026,0.31323397,0.08192304,0.047215674
6,0.04647480996647232,0.1622289437289944,0.6858967542648315,0.2748921,0.30908784,0.07694285,0.046464805
7,0.048398770978634376,0.1767799752189203,0.6581621766090393,0.26847443,0.30317727,0.074501276,0.045190375
8,0.043179072869919864,0.1615664122009972,0.7235856056213379,0.26240465,0.30184284,0.07147807,0.04447698
9,0.04384177959983814,0.16425276505033887,0.6520385146141052,0.25830978,0.29709196,0.0696085,0.043589268
10,0.044169571613227786,0.1675553331826208,0.6191349625587463,0.25496984,0.29225084,0.06595846,0.04300325
11,0.04029458179290428,0.1477596065587258,0.5075967311859131,0.24835873,0.2867109,0.063932136,0.042429384
12,0.048262822574621465,0.18380064596665652,0.5957487225532532,0.24434009,0.2781071,0.06307539,0.042043023
13,0.04255607631543901,0.15913177037924203,0.5678812265396118,0.2405528,0.27355754,0.06272202,0.041885994
14,0.05058993375192554,0.19099668563790806,0.5330472588539124,0.23849514,0.27139655,0.060166337,0.04123739
15,0.041545923664251305,0.16413658289686064,0.519396960735321,0.23225613,0.2653435,0.05876754,0.041054018
16,0.049982420106202845,0.18657532329187346,0.5585440397262573,0.22761256,0.2579504,0.057784427,0.040703848
17,0.06096495782922783,0.22073122015270424,0.6037927865982056,0.22663839,0.25529417,0.05695173,0.040194888
18,0.047628678371998134,0.17425897247883168,0.5451083779335022,0.2218262,0.25391072,0.056077547,0.04018312
19,0.05135917619671418,0.1955452207319594,0.5705696940422058,0.21549483,0.24930376,0.05590091,0.039603088
20,0.0543107272523105,0.20700063274969085,0.5825974345207214,0.21430263,0.2475102,0.055230033,0.039616056
21,0.05839190548092785,0.21880064770387062,0.49465125799179077,0.20940226,0.2421304,0.053913023,0.0393292
22,0.05905991265323271,0.21951245282576173,0.5928227305412292,0.206599,0.23985791,0.054699667,0.039072823
23,0.05748215429592662,0.21005974969170557,0.4922250509262085,0.20348817,0.2365477,0.05208795,0.039040197
24,0.05643615040529846,0.22466823000070738,0.568158745765686,0.20194347,0.23506583,0.05243551,0.039064102
25,0.05549868412071885,0.20297996197464713,0.5192273259162903,0.1997082,0.23013048,0.051191352,0.038249426
