epoch,map,map_05,train loss,train cls loss,train box reg loss,train obj loss,train rpn loss
1,0.0028939823855096483,0.013320794541622232,0.6410516500473022,0.4081814,0.23985139,0.2884847,0.027745115
2,0.03164887833466001,0.12974699649508606,0.529187023639679,0.21452297,0.28927886,0.06492438,0.0203071
3,0.04761284976158399,0.1851976729924026,0.5096836686134338,0.17251503,0.2449763,0.044297405,0.01617109
4,0.0514774291409144,0.19152672965652667,0.42014288902282715,0.15202837,0.22490719,0.036194924,0.013899691
5,0.05132805525863283,0.18737528010231566,0.3784409165382385,0.14027147,0.21204153,0.03138416,0.012174725
6,0.06207325016207688,0.2250685302773789,0.3791331350803375,0.13073838,0.20135121,0.028256806,0.011246218
7,0.06025190443248168,0.2034731239274381,0.3115754723548889,0.12313391,0.19184305,0.025574163,0.01081682
8,0.07872211893549429,0.2696212981397802,0.3625442087650299,0.117564715,0.18589799,0.023165157,0.010150925
9,0.07811726119924459,0.2599575608123758,0.3514974117279053,0.11132427,0.17826054,0.022083865,0.00981877
10,0.08406677680897277,0.2733149198800793,0.28677621483802795,0.10724484,0.17272049,0.020742241,0.009222968
11,0.08618458915727344,0.27800627427995267,0.27996528148651123,0.1034133,0.16684283,0.019678896,0.009023122
12,0.09053693475817899,0.293923922310711,0.3273838758468628,0.09881201,0.1611321,0.018506309,0.008710719
13,0.09511979187542983,0.31573202083693785,0.29465073347091675,0.0962351,0.15763536,0.018038629,0.008490627
14,0.08968765847356758,0.28918266339876736,0.2608725428581238,0.092436194,0.15216926,0.016950767,0.008350445
15,0.11764553840003106,0.3648998214575355,0.2848169207572937,0.088928886,0.14792857,0.01586472,0.008083829
16,0.09589424957377393,0.29911667462301617,0.2339768260717392,0.08701336,0.14520867,0.015912922,0.007999318
17,0.10726625997259288,0.3414141813051146,0.2588701844215393,0.08454431,0.14120561,0.015118318,0.0076211714
18,0.10690937229716084,0.3370936431179683,0.251808226108551,0.082075246,0.13809776,0.014775035,0.007552129
19,0.11264275760424629,0.3361532831688013,0.23887597024440765,0.0799047,0.13415486,0.013731126,0.0074094953
20,0.0954377667811306,0.2966492082275587,0.22866682708263397,0.078661315,0.13131219,0.014032466,0.00729515
21,0.1069051671593301,0.3244618770449996,0.21941186487674713,0.07691794,0.12890252,0.013390875,0.007170007
22,0.10705762692509274,0.3325582702661901,0.20598526298999786,0.07627178,0.12717748,0.013695703,0.00723057
23,0.10683233137409015,0.32086034387695034,0.24075789749622345,0.07406322,0.124632575,0.012681961,0.006909394
24,0.1008916434255696,0.3165059674659973,0.2019781917333603,0.07287359,0.122094095,0.012621129,0.006869923
25,0.11563325717362162,0.3498676382333748,0.24912622570991516,0.07021364,0.1187983,0.0122457445,0.0066619096
